"","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits"
"1",1991,NA,NA,NA,NA,NA,NA,NA,17441,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"2",1992,NA,NA,NA,NA,NA,NA,NA,21872,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"3",1993,NA,NA,NA,NA,NA,NA,NA,23971,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"4",1994,NA,NA,NA,NA,NA,NA,NA,25057,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"5",1995,NA,NA,NA,NA,NA,NA,NA,28913,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"6",1996,NA,NA,NA,NA,NA,NA,NA,35100,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"7",1997,NA,NA,NA,NA,NA,NA,NA,32728,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"8",1998,NA,NA,NA,NA,NA,NA,NA,25293,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"9",1999,NA,NA,NA,NA,NA,NA,NA,21854,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"10",2000,NA,NA,NA,NA,NA,NA,NA,19682,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"11",2001,NA,NA,NA,NA,NA,NA,NA,19157,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"12",2002,NA,NA,NA,NA,NA,NA,NA,15067,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"13",2003,NA,NA,NA,NA,NA,NA,NA,12008,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
