"","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits"
"1",1978,319509,398608,256106,59965,72229,84493,50551,50551,NA,0.478,0.5426,0.607,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"2",1979,313044,395734,247632,82919,92987,103055,51096,51096,NA,0.488,0.5817,0.675,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"3",1980,307338,382421,246996,85911,95511,105110,57265,57265,NA,0.61,0.6848,0.759,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"4",1981,616913,716417,531229,73003,81942,90882,53918,53918,NA,0.554,0.6884,0.823,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"5",1982,428809,519975,353627,57619,66018,74417,54994,54994,NA,0.626,0.7189,0.812,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"6",1983,140607,190426,103821,56527,64190,71853,57507,57507,NA,0.604,0.6636,0.723,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"7",1984,303080,352640,260485,70084,77358,84632,63286,63286,NA,0.632,0.7006,0.77,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"8",1985,650417,726580,582238,67890,74253,80616,56099,56099,NA,0.743,0.8549,0.967,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"9",1986,383785,429295,343099,49374,55102,60829,57092,57092,NA,0.879,0.9523,1.025,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"10",1987,448690,497941,404310,35614,40364,45114,63369,63369,NA,0.977,1.0425,1.108,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"11",1988,518914,570213,472230,39781,43908,48035,64825,64823,2,0.977,1.0503,1.124,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"12",1989,500919,546761,458921,39429,43036,46642,66546,66473,73,1.06,1.1333,1.207,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"13",1990,500015,544122,459483,37464,40361,43258,59954,59954,NA,0.986,1.0706,1.155,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"14",1991,283680,311727,258156,36878,39644,42411,58129,58129,NA,0.961,1.016,1.071,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"15",1992,302910,332708,275780,35444,38176,40907,56617,56617,NA,0.989,1.0521,1.115,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"16",1993,541960,574507,511257,35005,37391,39777,52144,52144,NA,1.021,1.0962,1.171,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"17",1994,300812,322894,280240,27281,29333,31385,51615,51259,356,1.059,1.1108,1.163,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"18",1995,156159,170192,143283,26778,28653,30528,57621,57621,NA,1.126,1.1734,1.221,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"19",1996,377299,400700,355265,31719,33659,35598,47210,47210,NA,0.966,1.0254,1.085,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"20",1997,261533,283769,241040,27029,28846,30662,42465,42465,NA,1.052,1.1082,1.164,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"21",1998,434771,464785,406695,21722,23231,24740,35060,35060,NA,0.959,1.0297,1.1,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"22",1999,222697,241892,205026,24954,26594,28235,40163,39814,349,0.963,1.0146,1.066,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"23",2000,193857,209709,179203,27595,29381,31166,42109,42026,83,0.907,0.9546,1.003,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"24",2001,354055,377018,332491,32915,34905,36895,36675,36675,NA,0.733,0.787,0.841,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"25",2002,283150,302769,264802,33752,35956,38161,40107,40107,NA,0.79,0.8359,0.881,"Stock published","Advice",NA,"hke.27.3a46-8abd",0,2021,"tonnes","SSB","tonnes","F","Year-1"
