"","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits"
"1",1986,71718,NA,NA,NA,4280,NA,1408,1124,284,NA,0.451,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"2",1987,52147,NA,NA,NA,6004,NA,2021,1688,333,NA,0.454,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"3",1988,56895,NA,NA,NA,6698,NA,2586,2223,363,NA,0.483,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"4",1989,53386,NA,NA,NA,6688,NA,3037,2629,408,NA,0.631,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"5",1990,40227,NA,NA,NA,5908,NA,2354,1945,409,NA,0.463,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"6",1991,62747,NA,NA,NA,5703,NA,2129,1682,447,NA,0.396,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"7",1992,58378,NA,NA,NA,5383,NA,2353,1916,437,NA,0.625,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"8",1993,29393,NA,NA,NA,5249,NA,1822,1384,438,NA,0.512,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"9",1994,47513,NA,NA,NA,5509,NA,1920,1403,517,NA,0.488,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"10",1995,58876,NA,NA,NA,4913,NA,2058,1652,406,NA,0.612,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"11",1996,42636,NA,NA,NA,4309,NA,1466,1098,368,NA,0.558,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"12",1997,30047,NA,NA,NA,3784,NA,1204,896,308,NA,0.365,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"13",1998,21255,NA,NA,NA,4457,NA,1501,1123,378,NA,0.42,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"14",1999,35958,NA,NA,NA,3973,NA,1442,1125,317,NA,0.433,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"15",2000,35716,NA,NA,NA,3710,NA,1414,1041,373,NA,0.494,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"16",2001,36690,NA,NA,NA,3133,NA,1221,931,290,NA,0.554,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"17",2002,39523,NA,NA,NA,3314,NA,1028,720,308,NA,0.432,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"18",2003,50457,NA,NA,NA,3665,NA,1067,876,191,NA,0.331,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"19",2004,36385,NA,NA,NA,3985,NA,1354,1006,348,NA,0.456,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"20",2005,51826,NA,NA,NA,3990,NA,1358,983,375,NA,0.39,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"21",2006,50661,NA,NA,NA,4563,NA,1427,1092,335,NA,0.464,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"22",2007,36991,NA,NA,NA,4493,NA,1396,1104,292,NA,0.375,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"23",2008,27341,NA,NA,NA,5174,NA,1182,980,202,NA,0.283,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"24",2009,62312,NA,NA,NA,5098,NA,1413,1134,279,NA,0.309,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"25",2010,49092,NA,NA,NA,5534,NA,1562,1297,265,NA,0.279,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"26",2011,46845,NA,NA,NA,5121,NA,1397,1128,269,NA,0.275,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"27",2012,68109,NA,NA,NA,5861,NA,1321,952,369,NA,0.24,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"28",2013,42880,NA,NA,NA,5383,NA,1427,931,496,NA,0.313,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"29",2014,56411,NA,NA,NA,6084,NA,1942,1154,788,NA,0.373,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"30",2015,45070,NA,NA,NA,5794,NA,1745,1148,597,NA,0.471,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"31",2016,58781,NA,NA,NA,5656,NA,1419,1087,332,NA,0.271,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"32",2017,30467,NA,NA,NA,5809,NA,1173,926,246,NA,0.272,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"33",2018,46848,NA,NA,NA,5901,NA,906,814,92,NA,0.13,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"34",2019,36792,NA,NA,NA,6132,NA,943,742,201,NA,0.146,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"35",2020,43194,NA,NA,NA,7353,NA,792,711,81,NA,0.108,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"36",2021,43194,NA,NA,NA,8490,NA,NA,NA,NA,NA,NA,NA,"Stock published","Advice",NA,"ldb.27.8c9a",0,2021,"tonnes","SSB","tonnes","F","Year-1"
"37",1985,NA,NA,NA,1.143,2.354,3.683,6427,4499,1928,0.367,0.669,1.201,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"38",1986,NA,NA,NA,1.034,1.647,2.275,4051,2858,1193,0.316,0.528,0.844,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"39",1987,NA,NA,NA,1.006,1.544,2.075,6488,4614,1874,0.552,0.93,1.38,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"40",1988,NA,NA,NA,0.914,1.441,2.038,7273,5212,2061,0.646,1.142,1.74,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"41",1989,NA,NA,NA,0.768,1.164,1.619,4778,3451,1327,0.496,0.87,1.343,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"42",1990,NA,NA,NA,0.716,1.063,1.465,4187,3047,1140,0.46,0.818,1.282,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"43",1991,NA,NA,NA,0.682,0.997,1.374,4514,3310,1204,0.528,0.945,1.435,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"44",1992,NA,NA,NA,0.701,1.055,1.478,4837,3574,1263,0.53,0.969,1.49,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"45",1993,NA,NA,NA,0.757,1.134,1.599,5107,3802,1305,0.538,0.96,1.462,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"46",1994,NA,NA,NA,0.825,1.246,1.793,5200,3900,1300,0.48,0.901,1.359,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"47",1995,NA,NA,NA,0.829,1.272,1.877,6181,4670,1511,0.564,1.075,1.635,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"48",1996,NA,NA,NA,0.788,1.229,1.853,6902,5253,1649,0.622,1.27,1.987,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"49",1997,NA,NA,NA,0.695,1.029,1.455,6334,4856,1478,0.713,1.365,2.113,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"50",1998,NA,NA,NA,0.658,0.986,1.415,5507,4253,1254,0.618,1.218,1.854,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"51",1999,NA,NA,NA,0.619,0.953,1.383,4833,3759,1074,0.548,1.093,1.679,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"52",2000,NA,NA,NA,0.578,0.891,1.305,4460,3494,966,0.537,1.063,1.651,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"53",2001,NA,NA,NA,0.55,0.824,1.168,4527,3571,956,0.612,1.168,1.782,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"54",2002,NA,NA,NA,0.536,0.846,1.227,3528,2803,725,0.429,0.862,1.366,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"55",2003,NA,NA,NA,0.561,0.882,1.315,2961,2369,592,0.338,0.684,1.088,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"56",2004,NA,NA,NA,0.584,0.884,1.279,2566,2067,499,0.301,0.579,0.903,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"57",2005,NA,NA,NA,0.617,0.884,1.184,1883,1527,356,0.238,0.411,0.635,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"58",2006,NA,NA,NA,0.692,1.007,1.342,2515,2054,461,0.285,0.494,0.788,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"59",2007,NA,NA,NA,0.796,1.152,1.548,2856,2348,508,0.284,0.5,0.772,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"60",2008,NA,NA,NA,0.909,1.283,1.707,3496,2894,602,0.333,0.562,0.856,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"61",2009,NA,NA,NA,0.971,1.403,1.861,3445,2871,574,0.296,0.51,0.772,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"62",2010,NA,NA,NA,0.992,1.416,1.864,3811,3197,614,0.328,0.562,0.846,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"63",2011,NA,NA,NA,1.036,1.455,1.94,3857,3257,600,0.345,0.555,0.854,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"64",2012,NA,NA,NA,1.128,1.575,2.129,3186,2545,449,0.256,0.423,0.641,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"65",2013,NA,NA,NA,1.23,1.783,2.495,3064,2737,327,0.211,0.367,0.55,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"66",2014,NA,NA,NA,1.251,1.792,2.464,2809,2500,309,0.201,0.333,0.509,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"67",2015,NA,NA,NA,1.209,1.664,2.165,2623,2471,152,0.205,0.327,0.471,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"68",2016,NA,NA,NA,1.266,1.753,2.318,2959,2792,167,0.22,0.355,0.52,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"69",2017,NA,NA,NA,1.361,1.899,2.745,2788,2594,193,0.185,0.316,0.462,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"70",2018,NA,NA,NA,1.202,1.693,2.241,3258,3003,255,0.25,0.405,0.604,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"71",2019,NA,NA,NA,1.1,1.556,2.017,3381,3197,184,0.275,0.453,0.672,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"72",2020,NA,NA,NA,1.069,1.563,2.09,3530,3316,214,0.289,0.475,0.744,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"73",2021,NA,NA,NA,0.966,1.465,2.068,NA,NA,NA,NA,NA,NA,"Stock published","Advice",NA,"lez.27.4a6a",NA,2021,"tonnes","B/Bmsy","ratio","F/Fmsy","ratio"
"74",1991,NA,NA,NA,0.51,1.15,2.6,NA,1045,209,0.691,1.263,2.309,"Stock published","Advice",NA,"lez.27.6b",NA,2021,"tonnes","B/Bmsy",NA,"F/Fmsy","ratio"
